dealer_name,city,country,latitude,longitude
Urban Auto,Toronto,CA,43.7417,-79.3733
Surely Car Junction,Montreal,CA,45.5089,-73.5617
Get Moving Motors,Vancouver,CA,49.25,-123.1
Metalplex,Calgary,CA,51.05,-114.0667
Squaredeal Motors,Edmonton,CA,53.5344,-113.4903
The Car Masters,Ottawa,CA,45.4247,-75.695
Auto Empire,Mississauga,CA,43.6,-79.65
The Auto Bazaar,Winnipeg,CA,49.8844,-97.1464
Majestic Wheel,Quebec City,CA,46.8139,-71.2081
Up Town Vehicles,Hamilton,CA,43.2567,-79.8692
Razamataz Cars,Brampton,CA,43.6833,-79.7667
Car4Everyone,Surrey,CA,49.19,-122.8489
Buster Douglas Auto Tent,Kitchener,CA,43.4186,-80.4728
Carget,Laval,CA,45.5833,-73.75
Good Gears,Halifax,CA,44.6475,-63.5906
Car King Autos,London,CA,42.9836,-81.2497
Car Aisle,Victoria,CA,48.4283,-123.3647
Elevata Cars,Markham,CA,43.8767,-79.2633
Elite Autos,St. Catharines,CA,43.1833,-79.2333
Motorific,Niagara Falls,CA,43.06,-79.1067
Virgon Cars,Vaughan,CA,43.8333,-79.5
Kingcrown Motors,Gatineau,CA,45.4833,-75.65
Cars4Sale,Windsor,CA,42.2833,-83
Agile Auto,Saskatoon,CA,52.1333,-106.6833
Good Goals Auto,Longueuil,CA,45.5333,-73.5167
Baseprice Auto,Burnaby,CA,49.2667,-122.9667
Foursquare Motors,Regina,CA,50.4547,-104.6067
Motomottoes,Richmond,CA,49.1667,-123.1333
Pro-Wheel,Richmond Hill,CA,43.8667,-79.4333
Shift Wave,Oakville,CA,43.45,-79.6833
Mister Motor,Burlington,CA,43.3167,-79.8
Ohio Car Bargains,Barrie,CA,44.3711,-79.6769
Escott Vehicles,Oshawa,CA,43.9,-78.85
Nexonn,Sherbrooke,CA,45.4,-71.9
Car Shine,Saguenay,CA,48.4167,-71.0667
City Trio Vehicles,Mexico City,MX,19.4181,-99.1311
Car Motto Cars,Ecatepec,MX,19.6008,-99.06
Essy,Guadalajara,MX,20.6675,-103.3422
Wheel Fest,Puebla City,MX,19.0344,-98.1975
Lot Of Autos,Ciudad Ju rez,MX,31.7339,-106.4869
Autostex Vehicles,Tijuana,MX,32.5333,-117.0436
Masterkey Motors,Le¢n,MX,21.1169,-101.6806
Kindauto,Monterrey,MX,25.6669,-100.3086
Carzlync,Zapopan,MX,20.7169,-103.3883
Motormania,Nezahualc¢yotl,MX,19.4,-98.9889
Wheel Spring,Culiac n,MX,24.7842,-107.3981
Prime Motors,Chihuahua City,MX,28.6333,-106.0889
Carnova,Naucalpan,MX,19.4675,-99.2378
Aspire Cars,M‚rida,MX,20.9667,-89.6217
Great Motors Co.,San Luis Potos¡ City,MX,22.1347,-100.975
Motor High,Aguascalientes,MX,21.8681,-102.2961
Happylifeauto,Hermosillo,MX,29.0847,-110.9542
Mayer Vehicles,Saltillo,MX,25.4333,-101
Goodbuy Automart,Mexicali,MX,32.6511,-115.4678
Car Cabanna,Guadalupe,MX,25.6678,-100.235
